team,season,wins,losses,pace,ortg,drtg,net_rating,srs,threepar,ftr,ft_fga,games,win_pct
Atlanta Hawks*,2014,38.0,44.0,94.6,105.9,106.4,-0.5,-0.88,0.316,0.266,0.208,82.0,0.4634146341463415
Boston Celtics,2014,25.0,57.0,93.3,102.9,107.7,-4.8,-4.97,0.251,0.248,0.193,82.0,0.3048780487804878
Brooklyn Nets*,2014,44.0,38.0,91.4,106.7,107.7,-1.0,-1.58,0.301,0.313,0.236,82.0,0.5365853658536586
Charlotte Bobcats*,2014,43.0,39.0,92.4,103.6,103.8,-0.2,-0.89,0.219,0.297,0.219,82.0,0.524390243902439
Chicago Bulls*,2014,48.0,34.0,90.2,102.5,100.5,2.0,1.2,0.222,0.29,0.226,82.0,0.5853658536585366
Cleveland Cavaliers,2014,33.0,49.0,93.1,104.2,107.7,-3.5,-3.86,0.236,0.268,0.201,82.0,0.4024390243902439
Dallas Mavericks*,2014,49.0,33.0,93.5,111.2,108.7,2.5,2.91,0.274,0.253,0.201,82.0,0.5975609756097561
Denver Nuggets,2014,36.0,46.0,98.1,106.0,108.2,-2.2,-1.4,0.278,0.306,0.222,82.0,0.43902439024390244
Detroit Pistons,2014,29.0,53.0,94.9,105.9,109.7,-3.8,-4.13,0.222,0.296,0.199,82.0,0.35365853658536583
Golden State Warriors*,2014,51.0,31.0,96.2,107.5,102.6,4.9,5.15,0.291,0.247,0.186,82.0,0.6219512195121951
Houston Rockets*,2014,54.0,28.0,96.3,111.0,106.3,4.7,5.06,0.33,0.386,0.275,82.0,0.6585365853658537
Indiana Pacers*,2014,56.0,26.0,92.5,104.1,99.3,4.8,3.63,0.235,0.29,0.226,82.0,0.6829268292682927
Los Angeles Clippers*,2014,57.0,25.0,95.9,112.1,104.8,7.3,7.27,0.291,0.353,0.258,82.0,0.6951219512195121
Los Angeles Lakers,2014,27.0,55.0,98.7,104.2,110.6,-6.4,-5.33,0.291,0.263,0.199,82.0,0.32926829268292684
Miami Heat*,2014,54.0,28.0,91.2,110.9,105.8,5.1,4.15,0.292,0.3,0.228,82.0,0.6585365853658537
Milwaukee Bucks,2014,15.0,67.0,91.8,103.0,111.8,-8.8,-8.41,0.231,0.274,0.204,82.0,0.18292682926829268
